dev_auroc,dev_loss,epoch,step
0.7890301942825317,1.2182633876800537,0,105
0.8420664668083191,1.2754813432693481,1,211
0.8661152124404907,1.226563811302185,2,317
0.8800327777862549,1.1757500171661377,3,423
0.8814249038696289,1.1622549295425415,4,529
0.8859965801239014,1.1379703283309937,5,635
0.8922090530395508,1.092908501625061,6,741
0.9017624258995056,1.0656726360321045,7,847
0.9041494131088257,1.0395011901855469,8,953
0.9076288938522339,1.0015769004821777,9,1059
0.9059839844703674,0.9819707870483398,10,1165
0.9106768369674683,0.9811714887619019,11,1271
0.9149236083030701,0.9530062675476074,12,1377
0.91556715965271,0.947505533695221,13,1483
0.9165247678756714,0.9346141219139099,14,1589
0.9144979119300842,0.923612654209137,15,1695
0.9160537123680115,0.9308465719223022,16,1801
0.9184500575065613,0.9084901809692383,17,1907
0.920785129070282,0.8835833072662354,18,2013
0.9178047776222229,0.8902743458747864,19,2119
0.919753909111023,0.8785591721534729,20,2225
0.9209656715393066,0.8708643913269043,21,2331
0.9199690818786621,0.878267228603363,22,2437
0.9206275939941406,0.8651998043060303,23,2543
0.9199445247650146,0.8643928170204163,24,2649
0.9236617088317871,0.8474801182746887,25,2755
0.9259456396102905,0.835549533367157,26,2861
0.9230184555053711,0.8424117565155029,27,2967
0.9233250617980957,0.8338006734848022,28,3073
0.9250670671463013,0.8221951723098755,29,3179
0.9208818078041077,0.826309084892273,30,3285
0.9219631552696228,0.8256829977035522,31,3391
0.9217970967292786,0.8258183002471924,32,3497
0.9243058562278748,0.8015073537826538,33,3603
0.919478178024292,0.8117459416389465,34,3709
0.9219290614128113,0.8095386028289795,35,3815
0.9221762418746948,0.8159149289131165,36,3921
0.9225760698318481,0.8068069815635681,37,4027
0.9234044551849365,0.7930920124053955,38,4133
0.9215498566627502,0.8045191764831543,39,4239
0.9262566566467285,0.7980726957321167,40,4345
0.9244194626808167,0.807153582572937,41,4451
0.9229080677032471,0.7972251772880554,42,4557
0.9262015223503113,0.7845373749732971,43,4663
0.9271033406257629,0.7887177467346191,44,4769
0.9252036809921265,0.8007168173789978,45,4875
0.9261136054992676,0.7987903356552124,46,4981
0.928314208984375,0.7818183302879333,47,5087
0.9269669651985168,0.7803654670715332,48,5193
0.9262510538101196,0.7832657694816589,49,5299
0.9277880191802979,0.7702558040618896,50,5405
0.9275292754173279,0.7759128212928772,51,5511
0.9293840527534485,0.7682905197143555,52,5617
0.927736222743988,0.7644408941268921,53,5723
0.9295322299003601,0.7618499398231506,54,5829
0.9243893027305603,0.7662271857261658,55,5935
0.9287496209144592,0.7640331983566284,56,6041
0.9282816052436829,0.7593444585800171,57,6147
0.9278589487075806,0.7609689831733704,58,6253
0.9270016551017761,0.7526590824127197,59,6359
0.9284523129463196,0.7555566430091858,60,6465
0.9286196827888489,0.7519900798797607,61,6571
0.9264852404594421,0.7536647319793701,62,6677
0.9302815198898315,0.7385939359664917,63,6783
0.926768958568573,0.7392410635948181,64,6889
0.9279903769493103,0.7401884198188782,65,6995
0.9274994134902954,0.7374376058578491,66,7101
0.9293076992034912,0.7444366216659546,67,7207
0.9290665984153748,0.7335572242736816,68,7313
0.9311871528625488,0.7233953475952148,69,7419
0.9310200810432434,0.7224870324134827,70,7525
0.9291882514953613,0.7369749546051025,71,7631
0.928205668926239,0.737322211265564,72,7737
0.9304836392402649,0.7336768507957458,73,7843
0.9285905957221985,0.729507565498352,74,7949
0.9306207895278931,0.7260786294937134,75,8055
0.9281477332115173,0.7255184650421143,76,8161
0.9321229457855225,0.7213199138641357,77,8267
0.9255298376083374,0.7299153804779053,78,8373
0.9284093379974365,0.7136430740356445,79,8479
0.9304332137107849,0.7078981399536133,80,8585
0.9317912459373474,0.7069354057312012,81,8691
0.9269962310791016,0.7263123989105225,82,8797
0.9316316843032837,0.7117998003959656,83,8903
0.9266346096992493,0.720511257648468,84,9009
0.9295802116394043,0.713952898979187,85,9115
0.9268439412117004,0.7146053314208984,86,9221
0.9274449348449707,0.7150322794914246,87,9327
0.9295730590820312,0.7021579742431641,88,9433
0.9286854863166809,0.7137923240661621,89,9539
0.9276410937309265,0.7146089673042297,90,9645
0.9288702607154846,0.713798999786377,91,9751
0.9294462203979492,0.705229640007019,92,9857
0.9279258847236633,0.7072686553001404,93,9963
0.9291994571685791,0.6898542642593384,94,10069
0.9274042844772339,0.7048072218894958,95,10175
0.9277969002723694,0.7048264741897583,96,10281
0.9275289177894592,0.6998357176780701,97,10387
0.9282718896865845,0.7090826630592346,98,10493
0.9299633502960205,0.7058435082435608,99,10599
0.9282375574111938,0.7053146958351135,100,10705
0.926522970199585,0.704526960849762,101,10811
0.9266595244407654,0.7094756960868835,102,10917
0.928654134273529,0.7151398658752441,103,11023
0.9305925369262695,0.7049772143363953,104,11129
0.9289000034332275,0.70119708776474,105,11235
0.9287976622581482,0.7198050022125244,106,11341
0.9266871213912964,0.728479266166687,107,11447
0.9282220602035522,0.7228267192840576,108,11553
0.9298345446586609,0.7123355865478516,109,11659
0.9290614128112793,0.7091124057769775,110,11765
0.9265223741531372,0.7140572667121887,111,11871
0.9264025688171387,0.7080005407333374,112,11977
0.9265737533569336,0.7051517963409424,113,12083
0.925142228603363,0.7040235996246338,114,12189
